distance_km,athlete_gender,athlete_tier,avg_speed,total_athletes
53.98,M,Elite,11.661333333333333,3
54.0,F,Average,6.17530058258542,6351
54.0,F,Elite,9.526109065155808,706
54.0,M,Average,6.703513696668893,31431
54.0,M,Elite,10.46858500286205,3494
54.073824,F,Average,6.8556,105
54.073824,F,Elite,9.241583333333333,12
54.073824,M,Average,7.033708920187793,426
54.073824,M,Elite,9.728187499999999,48
54.1,F,Average,6.058210526315789,95
54.1,F,Elite,8.470636363636363,11
54.1,M,Average,6.374543535620053,379
54.1,M,Elite,9.63906976744186,43
54.2,F,Average,5.201398230088496,113
54.2,F,Elite,7.559384615384615,13
54.2,M,Average,5.581502958579882,507
54.2,M,Elite,8.637771929824561,57
54.23475800000001,F,Average,7.459535433070866,127
54.23475800000001,F,Elite,9.709733333333334,15
54.23475800000001,M,Average,7.967893129770992,393
54.23475800000001,M,Elite,10.566522727272728,44
54.3,F,Average,6.582853658536585,41
54.3,F,Elite,8.843799999999998,5
54.3,M,Average,7.484611428571428,175
54.3,M,Elite,10.4423,20
54.395692,F,Average,7.374599999999999,45
54.395692,F,Elite,9.081,5
54.395692,M,Average,7.857648,125
54.395692,M,Elite,10.456714285714286,14
54.4,F,Average,5.223826086956522,276
54.4,F,Elite,8.03467741935484,31
54.4,M,Average,5.621296827021494,977
54.4,M,Elite,8.628862385321101,109
54.5,F,Average,4.839825757575757,132
54.5,F,Elite,8.8784,15
54.5,M,Average,5.409241333333333,750
54.5,M,Elite,9.17502380952381,84
54.556625999999994,F,Average,7.209444444444445,9
54.556625999999994,F,Elite,8.82,2
54.556625999999994,M,Average,7.3759523809523815,21
54.556625999999994,M,Elite,8.910666666666666,3
54.6,F,Average,5.272513888888889,72
54.6,F,Elite,9.844,8
54.6,M,Average,6.047254658385093,322
54.6,M,Elite,10.596444444444444,36
54.7,F,Average,5.769913333333333,150
54.7,F,Elite,8.431647058823529,17
54.7,M,Average,6.463545300592718,1181
54.7,M,Elite,9.476719696969695,132
54.71756,F,Average,4.722673804100228,2195
54.71756,F,Elite,8.560176229508198,244
54.71756,M,Average,5.50305431440869,4879
54.71756,M,Elite,10.258149171270718,543
54.8,F,Average,5.551111111111111,18
54.8,F,Elite,7.878,3
54.8,M,Average,5.822906077348065,181
54.8,M,Elite,9.449285714285715,21
54.878494,F,Average,7.5487761194029845,67
54.878494,F,Elite,10.275125,8
54.878494,M,Average,8.000625748502994,334
54.878494,M,Elite,10.923263157894738,38
54.9,F,Average,7.164,8
54.9,F,Elite,9.141,1
54.9,M,Average,7.8183376623376635,77
54.9,M,Elite,11.450222222222221,9
55.0,F,Average,5.893408924830711,20527
55.0,F,Elite,9.159787905346187,2282
55.0,M,Average,6.337445873081709,77152
55.0,M,Elite,10.137091385942417,8579
55.039428,F,Average,7.523533333333334,45
55.039428,F,Elite,10.132,5
55.039428,M,Average,7.724944751381215,181
55.039428,M,Elite,10.528761904761904,21
55.1,F,Average,7.579857142857143,14
55.1,F,Elite,9.6045,2
55.1,M,Average,8.383093023255814,86
55.1,M,Elite,10.7795,10
55.2,F,Average,6.301471428571428,70
55.2,F,Elite,8.574375,8
55.2,M,Average,6.362516483516484,364
55.2,M,Elite,9.458365853658536,41
55.200362,F,Average,8.280481481481482,27
55.200362,F,Elite,10.482666666666667,3
55.200362,M,Average,8.709964285714285,84
55.200362,M,Elite,11.592600000000001,10
55.3,F,Average,6.632490909090909,110
55.3,F,Elite,9.035615384615385,13
55.3,M,Average,6.965283950617284,405
55.3,M,Elite,9.711333333333332,45
55.361295999999996,F,Average,8.148642857142857,14
55.361295999999996,F,Elite,11.1175,2
55.361295999999996,M,Average,8.893630434782608,46
55.361295999999996,M,Elite,12.302666666666667,6
55.4,F,Average,6.635230337078651,178
55.4,F,Elite,9.4625,20
55.4,M,Average,7.176441068139963,1086
55.4,M,Elite,10.265247933884298,121
55.5,F,Average,6.234571428571429,63
55.5,F,Elite,9.324142857142858,7
55.5,M,Average,6.760796657381616,359
55.5,M,Elite,10.2402,40
55.52223,F,Elite,8.29,1
55.52223,M,Average,7.689414634146342,41
55.52223,M,Elite,9.6572,5
55.6,F,Average,5.681290023201856,431
55.6,F,Elite,8.335895833333334,48
55.6,M,Average,5.750910577971647,1834
55.6,M,Elite,9.126495098039216,204
55.683164000000005,F,Average,7.276978021978023,91
55.683164000000005,F,Elite,9.56009090909091,11
55.683164000000005,M,Average,7.538785992217899,257
55.683164000000005,M,Elite,10.736655172413792,29
55.7,F,Average,5.801849056603774,159
55.7,F,Elite,9.039111111111112,18
55.7,M,Average,6.961371732817038,1033
55.7,M,Elite,10.526791304347825,115
55.8,F,Average,5.767609243697479,238
55.8,F,Elite,9.006333333333332,27
55.8,M,Average,6.494349593495935,1476
55.8,M,Elite,9.89829268292683,164
55.844098,F,Average,6.939749999999999,20
55.844098,F,Elite,8.493,4
55.844098,M,Average,7.548833333333333,36
55.844098,M,Elite,10.9626,5
55.9,F,Average,5.408933333333333,90
55.9,F,Elite,7.844636363636363,11
55.9,M,Average,5.471279835390947,243
55.9,M,Elite,8.813333333333334,27
55.97,F,Average,6.2524,5
55.97,F,Elite,7.61,1
55.97,M,Average,7.795400000000001,20
55.97,M,Elite,11.247666666666666,3
56.0,F,Average,7.81925700876355,24077
56.0,F,Elite,11.088795369678865,2678
56.0,M,Average,8.095299029862614,81741
56.0,M,Elite,12.829572324276757,9091
56.1,F,Average,5.881891891891891,37
56.1,F,Elite,7.8366,5
56.1,M,Average,6.391115646258504,147
56.1,M,Elite,9.05864705882353,17
56.165966,F,Average,7.64093023255814,43
56.165966,F,Elite,9.6542,5
56.165966,M,Average,7.928426294820717,251
56.165966,M,Elite,10.31932142857143,28
56.2,F,Average,5.957339130434783,230
